"filename", "language", "C++", "C", "Markdown", "Makefile", "Shell Script", "Python", "YAML", "reStructuredText", "pip requirements", "Diff", "Docker", "comment", "blank", "total"
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/libbpf/travis-ci/rootfs/mkrootfs_tweak.sh", "Shell Script", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 7, 16, 62
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/libbpf/travis-ci/rootfs/s390x-self-hosted-builder/README.md", "Markdown", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 108
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/libbpf/travis-ci/rootfs/s390x-self-hosted-builder/actions-runner-libbpf.Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 7, 7, 51
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/libbpf/travis-ci/vmtest/helpers.sh", "Shell Script", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 7, 4, 37
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/libbpf/travis-ci/vmtest/run_selftests.sh", "Shell Script", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 4, 15, 77
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/load.sh", "Shell Script", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 4, 10
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/mapinmap.skel.h", "C++", 3097, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33, 3134
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/unload.sh", "Shell Script", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 4
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/Makefile", "Makefile", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 9, 14, 76
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/README.md", "Markdown", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 86
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/common.h", "C++", 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 23, 175
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/mapinmap.bpf.c", "C", 0, 731, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 129, 904
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/mapinmap.c", "C", 0, 779, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 156, 1047
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/misc.c", "C", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 85
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/scripts/convert_add.py", "Python", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 5, 21
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/scripts/dist_ip.py", "Python", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 6, 8, 54
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/scripts/distribution.py", "Python", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 8, 6, 34
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/scripts/validator.py", "Python", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 3, 6, 34
"Total", "-", 97604, 24097, 364, 199, 1230, 118, 400, 228, 1, 52, 74, 22582, 18988, 165937
